category,book_name,author,publisher,publishDate,price
小说,香水,[德] 帕·聚斯金德、帕特里克·聚斯金德,上海译文出版社,2009-6,25.00元
小说,你当像鸟飞往你的山,塔拉·韦斯特弗,南海出版公司,2019-10,59.00元
小说,你的夏天还好吗？,金爱烂,人民文学出版社,2017-1,32.00
小说,溶于雾中,[日] 笹泽左保,新星出版社,2023-3,49.00元
小说,我们没有秘密,吴晓乐,中信出版社,2022-5-1,49.8
小说,棋王,阿城,上海三联书店,2019-4,48.00元
小说,平原上的摩西,双雪涛,百花文艺出版社,2016-6,39.50元
小说,海葵,贝客邦,重庆出版社,2021-3,49.00元
小说,围城,钱锺书,人民文学出版社,1991-2-1,39.00元
小说,花战,[日] 鬼塚忠,南海出版公司,2023-5,69.00元
小说,繁花 : 批注本,金宇澄 著、沈宏非（批注）、姜庆共（排版）、金宇澄,长江文艺出版社,2023-7,98元
小说,都柏林人,[爱尔兰] 詹姆斯·乔伊斯,上海译文出版社,2010-9,26.00元
小说,人生复本,[美国] 布莱克·克劳奇,中信出版社,2017-11,45.00元
小说,长日将尽,[英] 石黑一雄,上海译文出版社,2018-5,48
小说,寂静连绵的山脉,彭剑斌,上海文艺出版社,2023-3,59
小说,一个女人的故事,[法]安妮·埃尔诺,上海人民出版社,2022-10,38.00
小说,上元灯彩图,宋方金,四川文艺出版社,2023-4,58.00元
小说,蛙,莫言,浙江文艺出版社,2017-1,37.00元
小说,女人的秘密生活,苏更生,人民文学出版社,2023-4,59.00元
小说,一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2013-6,25.00元
小说,挽救计划,[美] 安迪·威尔,译林出版社,2021-9,68.00
小说,春天里的同学会,常潇湘、孙铎,作家出版社,2023-6,39.00
小说,长风渡,墨书白,青岛出版社,2021-5,69.8
小说,斑马,傅真,人民文学出版社,2022-1,55.00元
小说,没有色彩的多崎作和他的巡礼之年,[日] 村上春树,南海出版公司,2013-10-1,39.50元
小说,500个目击者,[日]大山诚一郎,北京日报出版社,2022-12,42.00元
小说,麒麟,周游,长江文艺出版社,2022-7,78
小说,时空旅行者的沙漏,[日] 方丈贵惠,新星出版社,2021-5,48.00
小说,罪与罚,[俄] 陀思妥耶夫斯基,译林出版社,2021-5,68.00元
小说,面纱,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-4-1,39.8元
小说,诡计博物馆,[日] 大山诚一郎,上海文艺出版社,2020-6,39.90元
小说,索拉里斯星,[波] 斯坦尼斯瓦夫·莱姆,译林出版社,2021-8,49.00元
小说,再次重逢的世界,[韩] 黄麻瓜,花城出版社,2023-5,55.00元
小说,瓦斯灯,[日] 连城三纪彦,新星出版社,2023-6,45.00元
小说,这么多年,八月长安,江苏凤凰文艺出版社,2021-8-14,128
小说,动物农场,[英]乔治·奥威尔,上海译文出版社,2010-9,22.00元
小说,鄙视,[意] 阿尔贝托·莫拉维亚,江苏凤凰文艺出版社,2021-7,62.00
小说,慢车开来,[英]乔乔·莫伊斯,北京联合出版公司,2023-5,68
小说,长安十二时辰 下,马伯庸,湖南文艺出版社,2017-1-1,39.80元
小说,朝阳南路精怪故事集,康夫,南海出版公司,2023-5,49.00元
小说,窒息的家,须一瓜,文汇出版社,2023-5,49.90
小说,夜行之子,[挪威] 尤·奈斯博,湖南文艺出版社,2023-4,59.00元
小说,金阁寺,[日]三岛由纪夫,辽宁人民出版社,2021-2,38.00
小说,东方快车谋杀案,[英] 阿加莎·克里斯蒂,新星出版社,2013-4,26.00元
小说,看不见的城市,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,25.00元
小说,白鹿原,陈忠实,人民文学出版社,1997-12,28.00元
小说,繁花,金宇澄,上海文艺出版社,2013-3,48.00元
小说,盗墓笔记,南派三叔,上海文化出版社,2011-12-1,295.20
小说,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2017-8,55.00元
小说,海风中失落的血色馈赠,[加] 阿利斯泰尔·麦克劳德,人民文学出版社,2021-3,42.00元
小说,像这样的小事,[爱尔兰]克莱尔·吉根,人民文学出版社,2023-6,50.00
小说,恐妻家,[日] 伊坂幸太郎,南海出版公司,2019-11-1,58.00
小说,成年人的谎言生活,[意大利] 埃莱娜·费兰特,人民文学出版社,2021-8,69.00元
小说,家山,王跃文,人民文学出版社,2022-12,89
小说,一九八四,[英]乔治·奥威尔,上海译文出版社,2009-7,29.00元
小说,晚熟的人,莫言,人民文学出版社,2020-8-1,59
小说,使女的故事,[加拿大] 玛格丽特·阿特伍德,上海译文出版社,2017-12,49.00元
小说,红玫瑰与白玫瑰,张爱玲,北京十月文艺出版社,2019-3,49.50元
小说,平凡的世界（全三部）,路遥,人民文学出版社,2005-1,64.00元
小说,焦虑的人,弗雷德里克·巴克曼,天津人民出版社,2021-8,49.8
小说,花街往事,路内,上海文艺出版社,2023,59.90元
小说,红房间,[日] 江户川乱步,河南文艺出版社,2023-6,52.00元
小说,爱尔娜,[波兰] 奥尔加·托卡尔丘克,浙江文艺出版社,2023-6,59.00元
小说,大明王朝1566,刘和平,花城出版社,2016-7,88.00元
